HotelName,Location
Anantara Uluwatu Bali Resort,"Jl Pemutih, Labuan Sait, Uluwatu, id, 80361 Uluwatu, Indonesia"
Sadara Resort,"Jl. Pratama, Nusa Dua, Bali, 80363 Nusa Dua, Indonesia"
"Sudamala Resort, Sanur, Bali","Jalan Sudamala No. 20, 80227 Sanur, Indonesia"
Melia Bali,"Kawasan Wisata ITDC Lot. 1, 80363 Nusa Dua, Indonesia"
Royal Kamuela Villas & Suites at Monkey Forest Ubud,"Jl. Monkey Forest, Bali, 80571 Ubud, Indonesia"
"The Oberoi Beach Resort, Bali","Seminyak Beach, Jalan Kayu Aya, 80033 Seminyak, Indonesia"
Sheraton Bali Kuta Resort,"Jalan Pantai Kuta, 80361 Kuta, Indonesia"
Kelapa Retreat & Spa,"Jalan Ngurah Rai, Pekutatan, 82262 Pulukan, Indonesia"
Gdas Bali Health and Wellness Resort,"Jalan Cempaka Mas, Ubud, 80571 Ubud, Indonesia"
Kupu Kupu Barong Villas and Tree Spa by L�OCCITANE,"Kedewatan PO BOX 7 80571, 80571 Ubud, Indonesia"
Kamandalu Ubud - CHSE Certified,"Jalan Andong, Banjar Nagi, 80571 Ubud, Indonesia"
Raffles Bali,"Jalan Karang Mas Sejahtera No 1A Jimbaran Bali, 80361 Jimbaran, Indonesia"
"The Laguna, A Luxury Collection Resort & Spa, Nusa Dua, Bali","Kawasan Pariwisata Nusa Dua Lot N2, PO.BOX 77, 80363 Nusa Dua, Indonesia"
The St. Regis Bali Resort,"Kawasan Pariwisata Nusa Dua Lot S6 PO.BOX 44, 80363 Nusa Dua, Indonesia"
The Kayon Jungle Resort,"Br. Bresela, Payangan, Ubud, Gianyar, Bali, 80572 Ubud, Indonesia"
Hyatt Regency Bali,"Jalan Danau Tamblingan 89,, 80228 Sanur, Indonesia"
Samabe Bali Suites & Villas,"Jl. Pura Barong-Barong, Sawangan, 80363 Nusa Dua, Indonesia"
The Tamarind Resort - Nusa Lembongan,"Jalan Jungutbatu, 80771 Nusa Lembongan, Indonesia"
M�venpick Resort & Spa Jimbaran Bali,"Jl. Wanagiri No. 1, 80362 Jimbaran, Indonesia"
Lelewatu Resort Sumba,"Jl. Lelewatu no. 168 Weimangoma, Kec. Wanokaka, 87272 Watukarere, Indonesia"
Canggu Cabana Resort By Ini Vie Hospitality,"Jl. Nelayan No.888A, Canggu, Kuta Utara, Badung, Bali, 80361 Canggu, Indonesia"
Jambuluwuk Convention Hall & Resort Puncak,"Jl. Raya Tapos no 63, Ciawi, 16720 Puncak, Indonesia"
Banyan Tree Bintan,"Jalan Teluk Berembang, Bintan, 29155 Lagoi, Indonesia"
Grand Seminyak - Lifestyle Boutique Bali Resort,"Jl. Abimanyu (Dhyana Pura), Bali, 80361 Seminyak, Indonesia"
Astera Resort Canggu by Ini Vie Hospitality,"Jalan Padang Lingjong, 80361 Canggu, Indonesia"
Komaneka at Tanggayuda Ubud,"Jl. Raya Tanggayuda, Banjar Tanggayuda, Ubud, 80571 Ubud, Indonesia"
Nandini Jungle by Hanging Gardens,"Banjar Susut, Desa Buahan, Payangan, Bali, 80572 Payangan, Indonesia"
tanadewa Resort Ubud Bali by Cross Collection,"Jalan Padang Getas, 80571 Ubud, Indonesia"
"InterContinental Bali Resort, an IHG Hotel","Jalan Uluwatu No 45, 80361 Jimbaran, Indonesia"
Meruorah Komodo Labuan Bajo,"Kawasan Marina Labuan Bajo, Jalan Soekarna Hatta, Manggarai Barat, NTT , 86711 Labuan Bajo, Indonesia"
Suarga Padang Padang,"Labuan Sait Rd. Br. Dinas Labuan Sait, Pecatu, Kuta Selatan, 80361 Uluwatu, Indonesia"
Renaissance Bali Uluwatu Resort & Spa,"Jalan Pantai Balangan 1 No 1, 80361 Uluwatu, Indonesia"
MERUSAKA Nusa Dua,"Kawasan Wisata Nusa Dua, Lot S3, 80363 Nusa Dua, Indonesia"
